iter	Logloss
0	0.6925500167
1	0.6917975175
2	0.6907637747
3	0.6900517514
4	0.6893115395
5	0.6887650339
6	0.6879937423
7	0.687071469
8	0.6863204153
9	0.6857185765
10	0.6853764584
11	0.6845688669
12	0.6836661088
13	0.6829666941
14	0.6821489836
15	0.6814561543
16	0.6810174239
17	0.6804475483
18	0.6799920333
19	0.6794403879
20	0.6788201583
21	0.6779181229
22	0.6772035298
23	0.6765652305
24	0.6758771394
25	0.6752961008
26	0.6746871145
27	0.6740980449
28	0.6734682987
29	0.6730689601
30	0.6725655807
31	0.6719088504
32	0.671266094
33	0.6708035921
34	0.6702038414
35	0.6695160314
36	0.6689123053
37	0.6683468467
38	0.6677506296
39	0.6669677333
40	0.6663343731
41	0.6656313444
42	0.6653177763
43	0.6647705078
44	0.6640171252
45	0.6633492319
46	0.6627176385
47	0.6619878267
48	0.661401849
49	0.6606669376
50	0.6599362825
51	0.6592310855
52	0.6586965461
53	0.6581748159
54	0.6577346802
55	0.6573298404
56	0.6568334479
57	0.6564281263
58	0.6557818764
59	0.6551984687
60	0.6547671669
61	0.6540377165
62	0.6533687792
63	0.6528953954
64	0.6523386504
65	0.6519614772
66	0.6513300042
67	0.6508660567
68	0.6503360949
69	0.6497638903
70	0.6494327344
71	0.649045362
72	0.6485931396
73	0.648313422
74	0.6476526361
75	0.6473387066
76	0.6467328925
77	0.6463707372
78	0.6456691541
79	0.6453284816
80	0.644980019
81	0.6442188865
82	0.6436515407
83	0.6431022644
84	0.6426029406
85	0.6420545076
86	0.641372761
87	0.6409287302
88	0.6404069599
89	0.6399886282
90	0.6394684239
91	0.6387028744
92	0.6383123297
93	0.6377622102
94	0.6373200266
95	0.6367633217
96	0.6363938181
97	0.6358699598
98	0.6354317916
99	0.6347883526
100	0.6344153956
101	0.6339300055
102	0.6335946334
103	0.6331825256
104	0.6328042281
105	0.6324263723
106	0.6320213719
107	0.6314922935
108	0.6311509785
109	0.6305227982
110	0.6301774276
111	0.629652726
112	0.629094415
113	0.6287936562
114	0.6283400686
115	0.6277321263
116	0.6270687706
117	0.6267752396
118	0.6262715791
119	0.6258381492
120	0.625484065
121	0.6251272904
122	0.6246529027
123	0.6242426019
124	0.6237145675
125	0.6230777138
126	0.6227350335
127	0.6224484494
128	0.6221100657
129	0.6216280485
130	0.621234934
131	0.6207583377
132	0.6205373664
133	0.6198414853
134	0.6196492245
135	0.6192327801
136	0.6189878765
137	0.6185992191
138	0.6180119565
139	0.6175629465
140	0.6169582969
141	0.6167063261
142	0.6161732724
143	0.6156522249
144	0.615313801
145	0.6148141158
146	0.6142210308
147	0.6138524909
148	0.6131802208
149	0.6124339054
150	0.6120603863
151	0.611828533
152	0.6113318192
153	0.6111359446
154	0.610697937
155	0.6100558632
156	0.6097479569
157	0.609173584
158	0.6087005615
159	0.6082515516
160	0.6077799747
161	0.607476887
162	0.6071591427
163	0.6067517732
164	0.6064527813
165	0.6060169822
166	0.6056046737
167	0.60531821
168	0.6049458955
169	0.6045893619
170	0.6041324013
171	0.6038800691
172	0.6034446315
173	0.6027565404
174	0.6023095382
175	0.6018472772
176	0.6012909739
177	0.6009157683
178	0.6006496229
179	0.6001041613
180	0.5996031912
181	0.5993400975
182	0.5989238137
183	0.598521584
184	0.5979896144
185	0.5975976643
186	0.5970581055
187	0.5967027363
188	0.5964012949
189	0.596097645
190	0.5959680658
191	0.5956183183
192	0.5952319497
193	0.5949625116
194	0.5945879886
195	0.5941767642
196	0.5937805176
197	0.5934428566
198	0.5928383275
199	0.5924185502
200	0.5922786913
201	0.5917792069
202	0.5912548266
203	0.5909560354
204	0.5906199405
205	0.5904194882
206	0.590171573
207	0.5896438599
208	0.5891613609
209	0.588964121
210	0.588892244
211	0.5886361373
212	0.58828125
213	0.5880219309
214	0.5876078957
215	0.5872473867
216	0.5869874252
217	0.5867010418
218	0.5863697253
219	0.5857615421
220	0.585352205
221	0.5848974931
222	0.5844241494
223	0.5839703209
224	0.5837781003
225	0.5834550958
226	0.5829745644
227	0.5826335706
228	0.5822759528
229	0.5816951149
230	0.5812850952
231	0.5808458027
232	0.5805747986
233	0.5804351807
234	0.5800626253
235	0.5799360175
236	0.5795703286
237	0.579470504
238	0.5790371543
239	0.5787219399
240	0.5784724185
241	0.5781107049
242	0.577752806
243	0.5773854306
244	0.5767790945
245	0.5763850965
246	0.5761158993
247	0.5756677728
248	0.575213623
249	0.5749763087
250	0.5746122661
251	0.5742287887
252	0.5738047148
253	0.5734845613
254	0.5731095163
255	0.572750734
256	0.5724810149
257	0.5723558526
258	0.5720343339
259	0.5718348453
260	0.5716114647
261	0.5714524119
262	0.5710975647
263	0.5708104184
264	0.5705135546
265	0.5701754921
266	0.5697680022
267	0.5695262708
268	0.5690319664
269	0.5688046104
270	0.5684808831
271	0.5679836876
272	0.5676792747
273	0.5674457751
274	0.5670573987
275	0.5668067932
276	0.566482303
277	0.566071681
278	0.5656444349
279	0.5654582777
280	0.5649449399
281	0.5646946154
282	0.5643728557
283	0.5642032423
284	0.5640060826
285	0.5635524549
286	0.5631409896
287	0.562992377
288	0.5625800685
289	0.5623060929
290	0.5619726081
291	0.5616406089
292	0.5613008198
293	0.5608057122
294	0.5604144448
295	0.5601258127
296	0.5597485191
297	0.5594997205
298	0.559163987
299	0.5589267931
300	0.5584868983
301	0.5580898887
302	0.5578071193
303	0.5575249923
304	0.557241219
305	0.556748079
306	0.5565613596
307	0.5562319705
308	0.5558223524
309	0.5553647493
310	0.5548906828
311	0.5545229862
312	0.5542113856
313	0.5539849131
314	0.5534590872
315	0.5529750222
316	0.5527405187
317	0.5525659662
318	0.5522668939
319	0.5517915023
320	0.5515236302
321	0.5511476216
322	0.5506031639
323	0.5503788998
324	0.5501391762
325	0.5498205888
326	0.549218228
327	0.5488399706
328	0.5485932601
329	0.5484091508
330	0.5482227526
331	0.5479806197
332	0.5474904111
333	0.5470838848
334	0.5468318738
335	0.546567174
336	0.5461975098
337	0.545765686
338	0.5456450211
339	0.5453141865
340	0.5450618142
341	0.5447044774
342	0.5439964294
343	0.5437366686
344	0.543407922
345	0.5430256894
346	0.5424806294
347	0.54206033
348	0.5418093631
349	0.5413721587
350	0.5410377904
351	0.5408555683
352	0.5403264899
353	0.5398792869
354	0.5396796779
355	0.5394481057
356	0.5390913311
357	0.5389902215
358	0.5387799715
359	0.5386652093
360	0.5382405733
361	0.5379209418
362	0.5377894351
363	0.5374348691
364	0.5372142189
365	0.5369080393
366	0.5363241898
367	0.5360967937
368	0.535899594
369	0.5354667664
370	0.5351362931
371	0.534888659
372	0.5345238937
373	0.5339912415
374	0.5336581582
375	0.5334496749
376	0.5331347817
377	0.5325671547
378	0.5324272959
379	0.5321327209
380	0.5317442643
381	0.5312308462
