feature,importance
goals_vs_weak_home,0.039053332
shots_vs_strong_away,0.037529506
goals_vs_average_away,0.03700318
shots_vs_weak_away,0.03689311
goals_vs_weak_away,0.03639896
shots_vs_weak_home,0.036022127
shots_vs_strong_home,0.035959132
shots_on_vs_weak_away,0.03585701
shots_on_vs_average_away,0.03546337
goals_vs_average_home,0.035058685
efficiency_vs_weak_away,0.034999352
shots_vs_average_home,0.03483178
efficiency_vs_average_away,0.034600038
goals_vs_strong_home,0.034136806
conversion_vs_weak_home,0.03390136
shots_vs_average_away,0.033703562
efficiency_vs_average_home,0.033403035
efficiency_vs_strong_away,0.0327803
shots_on_vs_weak_home,0.03236112
efficiency_vs_strong_home,0.032013115
goals_vs_strong_away,0.032006882
efficiency_vs_weak_home,0.031371724
conversion_vs_strong_home,0.030513508
conversion_vs_weak_away,0.029853586
shots_on_vs_strong_away,0.02967084
conversion_vs_average_home,0.029628051
shots_on_vs_strong_home,0.029379964
conversion_vs_average_away,0.029213598
shots_on_vs_average_home,0.028309057
conversion_vs_strong_away,0.028083913
