feature,importance
shots_vs_average_home,0.03667359
goals_vs_average_away,0.035432123
shots_on_vs_average_home,0.035157915
shots_vs_average_away,0.035045587
efficiency_vs_average_away,0.035009142
shots_on_vs_average_away,0.034978457
efficiency_vs_weak_home,0.034977764
shots_on_vs_weak_home,0.034975544
conversion_vs_weak_away,0.034798108
conversion_vs_strong_home,0.03460894
efficiency_vs_average_home,0.034208763
conversion_vs_weak_home,0.03395908
shots_vs_strong_home,0.03387912
goals_vs_average_home,0.033553537
shots_vs_weak_away,0.033525214
shots_vs_strong_away,0.033420984
conversion_vs_average_home,0.03338782
shots_vs_weak_home,0.033334304
efficiency_vs_weak_away,0.033261847
conversion_vs_strong_away,0.033008885
conversion_vs_average_away,0.032807693
efficiency_vs_strong_away,0.032657042
goals_vs_strong_home,0.03211809
goals_vs_strong_away,0.032000598
shots_on_vs_strong_home,0.031945422
shots_on_vs_weak_away,0.031906445
efficiency_vs_strong_home,0.031194314
shots_on_vs_strong_away,0.031109402
goals_vs_weak_away,0.028698081
goals_vs_weak_home,0.028366145
