Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Avg>2.5,Avg<2.5,FTG,target_over25,elo_home,elo_away,elo_diff,home_team_target_enc,away_team_target_enc,home_team_avg_goals_enc,away_team_avg_goals_enc,league_avg_goals,league_over25_ratio,goals_vs_weak_home,conceded_vs_weak_home,shots_vs_weak_home,shots_on_vs_weak_home,conversion_vs_weak_home,efficiency_vs_weak_home,goals_vs_average_home,conceded_vs_average_home,shots_vs_average_home,shots_on_vs_average_home,conversion_vs_average_home,efficiency_vs_average_home,goals_vs_strong_home,conceded_vs_strong_home,shots_vs_strong_home,shots_on_vs_strong_home,conversion_vs_strong_home,efficiency_vs_strong_home,goals_vs_weak_away,conceded_vs_weak_away,shots_vs_weak_away,shots_on_vs_weak_away,conversion_vs_weak_away,efficiency_vs_weak_away,goals_vs_average_away,conceded_vs_average_away,shots_vs_average_away,shots_on_vs_average_away,conversion_vs_average_away,efficiency_vs_average_away,goals_vs_strong_away,conceded_vs_strong_away,shots_vs_strong_away,shots_on_vs_strong_away,conversion_vs_strong_away,efficiency_vs_strong_away,goals_home_last5_mean,goals_home_last5_median,goals_home_last5_var,conceded_home_last5_mean,conceded_home_last5_median,conceded_home_last5_var,shots_home_last5_mean,shots_home_last5_median,shots_home_last5_var,shots_on_target_home_last5_mean,shots_on_target_home_last5_median,shots_on_target_home_last5_var,corners_home_last5_mean,corners_home_last5_median,corners_home_last5_var,fouls_home_last5_mean,fouls_home_last5_median,fouls_home_last5_var,yellow_home_last5_mean,yellow_home_last5_median,yellow_home_last5_var,red_home_last5_mean,red_home_last5_median,red_home_last5_var,shot_conversion_rate_home,attacking_pressure_home,disciplinary_index_home,goal_per_shot_on_target_home,goals_away_last5_mean,goals_away_last5_median,goals_away_last5_var,conceded_away_last5_mean,conceded_away_last5_median,conceded_away_last5_var,shots_away_last5_mean,shots_away_last5_median,shots_away_last5_var,shots_on_target_away_last5_mean,shots_on_target_away_last5_median,shots_on_target_away_last5_var,corners_away_last5_mean,corners_away_last5_median,corners_away_last5_var,fouls_away_last5_mean,fouls_away_last5_median,fouls_away_last5_var,yellow_away_last5_mean,yellow_away_last5_median,yellow_away_last5_var,red_away_last5_mean,red_away_last5_median,red_away_last5_var,shot_conversion_rate_away,attacking_pressure_away,disciplinary_index_away,goal_per_shot_on_target_away,tempo_score,tempo_score_norm,conversion_rate_diff,attacking_pressure_diff,goal_per_shot_on_target_diff,disciplinary_index_diff,match_weight,elo_home_norm,elo_away_norm,home_advantage_weight,home_advantage_weight_norm,sample_uncertainty_weight,recent_goal_variance_raw,recent_goal_variance_weight,style_chaos_index,style_chaos_index_norm,style_chaos_diff,elo_all,elo_all_norm,elo_weak_threshold,elo_strong_threshold,home_xg_proxy,away_xg_proxy,xg_proxy_diff,low_tempo_index,defense_suppression_score,opponent_strength_home,opponent_strength_away,mask_HomeTeam_weak,mask_HomeTeam_average,mask_HomeTeam_strong,mask_AwayTeam_weak,mask_AwayTeam_average,mask_AwayTeam_strong,h2h_avg_goals_total,h2h_avg_goals_total_adj,h2h_over25_ratio
E0,2020-09-19,20:00,Arsenal,West Ham,2,1,H,1,1,D,7,14,3,3,11,13,7,5,0,1,0,0,1.64,2.3,3,1,1515.0,1485.0,30.0,,,,,3.6363636363636362,0.6363636363636364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3700641361689864,-0.07282254483680568,-0.4057746217405657,0.33295207690376005,0.2313271191312385,0.9302325581395349,0.0,0.0,,,,1500.0,-0.34481857092303153,-0.34481857092303153,-0.34481857092303153,,,,0,,strong,strong,False,False,True,False,False,True,2.75,-0.8863636363636362,0.5
E0,2020-09-19,17:30,Man United,Crystal Palace,1,3,A,0,1,A,13,14,4,5,13,10,9,3,2,1,0,0,1.66,2.24,4,1,1500.0,1515.0,-15.0,,,,,3.6666666666666665,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3703076795206263,-0.23262015502687133,-0.08664467363911497,-0.14597548138775635,-0.10142026410301117,0.9638554216867469,0.0,0.0,,,,1507.5,-0.2298300987376083,-0.34481857092303153,-0.34481857092303153,,,,0,,strong,strong,False,False,True,False,False,True,2.25,-1.4166666666666665,0.5
E0,2020-09-20,19:00,Leicester,Burnley,4,2,H,1,1,D,14,16,6,5,11,13,15,4,1,2,0,0,1.95,1.88,6,1,1515.0,1500.0,15.0,,,,,3.8461538461538463,0.6923076923076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3710392716691801,-0.07282254483680568,-0.24620964768984036,0.17338710285303466,0.12046520139022232,0.9638554216867469,0.0,0.0,,,,1507.5,-0.2298300987376083,-0.34481857092303153,-0.34481857092303153,,,,0,,strong,strong,False,False,True,False,False,True,5.0,1.1538461538461537,1.0
E0,2020-09-20,16:30,Chelsea,Liverpool,0,2,A,0,0,D,5,18,3,6,10,6,1,11,0,0,1,0,1.61,2.35,2,0,1515.0,1515.0,0.0,,,,,3.7142857142857144,0.6428571428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37128345676841135,-0.07282254483680568,-0.08664467363911497,0.013822128802309291,0.00960328364920614,1.0,0.0,0.0,,,,1515.0,-0.11484162655218505,-0.34481857092303153,-0.34481857092303153,,,,0,,strong,strong,False,False,True,False,False,True,2.0,-1.7142857142857144,0.25
E0,2020-09-20,14:00,Newcastle,Brighton,0,3,A,0,2,A,6,13,0,6,16,15,7,1,3,0,0,1,2.38,1.59,3,1,1515.0,1485.0,30.0,,,,,3.6666666666666665,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3715278025685905,-0.07282254483680568,-0.4057746217405657,0.33295207690376005,0.2313271191312385,0.9302325581395349,0.0,0.0,,,,1500.0,-0.34481857092303153,-0.34481857092303153,-0.34481857092303153,,,,0,,strong,strong,False,False,True,False,False,True,3.25,-0.4166666666666665,0.75
E0,2020-09-20,12:00,Southampton,Tottenham,2,5,A,1,1,D,14,9,7,6,16,18,3,2,4,3,0,0,1.97,1.87,7,1,1485.0,1485.0,0.0,,,,,3.875,0.6875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37177230917547677,-0.392417765216937,-0.4057746217405657,0.013356856523628724,0.009280023626803838,1.0,0.0,0.0,,,,1485.0,-0.574795515293878,-0.34481857092303153,-0.34481857092303153,,,,0,,strong,strong,False,False,True,False,False,True,5.0,1.125,0.6666666666666666
E0,2020-09-21,18:00,Aston Villa,Sheffield United,1,0,H,0,0,D,18,4,2,1,12,13,10,4,3,1,0,1,2.25,1.66,1,0,1500.0,1485.0,15.0,,,,,3.7058823529411766,0.6470588235294118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37201697669489875,-0.23262015502687133,-0.4057746217405657,0.1731544667136944,0.12030357137902117,0.9638554216867469,0.0,0.0,,,,1492.5,-0.45980704310845477,-0.34481857092303153,-0.34481857092303153,,,,0,,strong,strong,False,False,True,False,False,True,1.5,-2.2058823529411766,0.0
E0,2020-09-21,20:15,Wolves,Man City,1,3,A,0,2,A,10,14,1,9,6,8,4,6,0,3,0,0,1.7,2.18,4,1,1515.0,1500.0,15.0,,,,,3.7222222222222223,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37226180523275476,-0.07282254483680568,-0.24620964768984036,0.17338710285303466,0.12046520139022232,0.9638554216867469,0.0,0.0,,,,1507.5,-0.2298300987376083,-0.34481857092303153,-0.34481857092303153,,,,0,,strong,strong,False,False,True,False,False,True,4.0,0.2777777777777777,1.0
E0,2020-09-26,20:00,Burnley,Southampton,0,1,A,0,1,A,10,5,2,1,8,10,8,2,1,0,0,0,2.09,1.75,1,0,1485.6471999915343,1470.0,15.647199991534308,,0.0,,0.0,3.5789473684210527,0.631578947368421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,9.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,1.0,1.0,,9.0,9.0,,5.0,5.0,,3.0,3.0,,11.0,11.0,,1.0,1.0,,0.0,0.0,,0.0,0.5549389567147613,0.09082652134423251,0.0,,,,,,,0.3725067948950129,-0.3855230310861228,-0.5653395957912911,0.17981656470516832,0.12493223731217629,0.962354612296551,0.0,0.0,,,,1477.8235999957672,-0.6848226182643047,-0.34481857092303153,-0.34481857092303153,,1.9,,0,,strong,strong,False,False,True,False,False,True,1.5,-2.0789473684210527,0.0
E0,2020-09-26,17:30,West Brom,Chelsea,3,3,D,3,0,H,9,22,3,10,8,16,3,9,1,3,0,0,1.64,2.28,6,1,1471.2919947606663,1500.0,-28.708005239333716,1.0,1.0,0.0,3.0,3.7,0.65,,,,,,,,,,,,,0.0,3.0,7.0,1.0,0.0,0.0,,,,,,,,,,,,,3.0,1.0,10.0,5.0,0.2997002997002997,0.5988023952095809,0.0,0.0,,3.0,3.0,,7.0,7.0,,1.0,1.0,,2.0,2.0,,12.0,12.0,,1.0,1.0,,0.0,0.0,,0.0,0.14265335235378032,0.08326394671107411,0.0,3.0,3.0,,1.0,1.0,,10.0,10.0,,5.0,5.0,,3.0,3.0,,13.0,13.0,,0.0,0.0,,0.0,0.0,,0.2997002997002997,0.4995004995004995,0.0,0.5988023952095809,28.0,-2.0740537431048134,-0.2997002997002997,-0.35684714714671917,-0.5988023952095809,0.08326394671107411,0.37275194578771104,-0.5384515303981654,-0.24620964768984036,-0.2922418827083251,-0.20304265239933314,0.9330359944566303,0.0,0.0,47.0,-1.555997137414288,-5.0,1485.645997380333,-0.5648912150538405,-0.34481857092303153,-0.34481857092303153,0.9000000000000001,2.0,-1.0999999999999999,0,0.05830971692753541,strong,strong,False,False,True,False,False,True,,,
