Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Avg>2.5,Avg<2.5,elo_rating_home,elo_rating_away,home_xg,away_xg,TotalGoals,goals_scored_season_avg_home,goals_scored_season_avg_away,goals_conceded_season_avg_home,goals_conceded_season_avg_away,goals_scored_last5_home,goals_scored_last5_away,goals_scored_total_last5,goals_conceded_last5_home,goals_conceded_last5_away,goals_conceded_total_last5,corners_last5_home,corners_last5_away,goal_diff_last5,goal_ratio_home,goal_ratio_away,xg_home_last5,xg_std_last5_home,xg_std_last5_away,xg_away_last5,shots_home_last5,shots_away_last5,shots_on_target_home_last5,shots_on_target_away_last5,xg_conceded_home_last5,xg_conceded_away_last5,avg_xg_conceded,xg_ratio,defensive_pressure,tempo_score,passivity_score,card_diff,fouls_diff,aggressiveness_score,behavior_balance,conceded_home_last5,conceded_away_last5,goal_sum,avg_goal_sum_last5,momentum_score,match_weight,boring_match_score,h2h_avg_goals,h2h_over25_ratio,is_over_2_5,over25_ratio_season_avg,over25_ratio_last10_avg,over25_ratio_last5_avg,over25_trend,goal_std_last5,attack_pressure,attack_pressure_last5,games_last_14d,xg_off_def_diff,shots_on_target_diff,elo_diff,over25_momentum
E0,2020-10-25,19:15,Arsenal,Leicester,0,1,A,0,0,D,12,6,4,2,13,9,9,3,3,5,0,0,1.74,2.12,1490.0,1510.0,1.8800000000000001,0.9400000000000001,1,0.0,3.0,1.0,1.0,0.0,5.0,5.0,0.0,2.0,2.0,0.0,4.0,3.0,0.0,2.4999875000625,0.0,0.0,0.0,2.0300000000000002,0.0,7.0,0.0,7.0,0.0,2.44,1.22,1.537878787878788,8,30,2.523,-2,4,6,8.523,0.0,2.0,1,0.0,-22.03,0.13523577417683003,1.5,0.0,0.0,False,,,0.5,,0.0,36,0.0,0,-2.44,-7.0,-20.0,
E0,2020-10-25,16:30,Wolves,Newcastle,1,1,D,0,0,D,16,5,3,2,10,10,2,3,0,1,0,0,2.25,1.66,1490.0,1500.0,2.04,0.85,2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.9999900000999989,0.0,0.0,0.0,0.74,0.0,6.0,0.0,1.0,0.0,4.470000000000001,2.2350000000000003,0.316916488222698,12,26,1.9835,-1,0,1,2.9835000000000003,0.0,1.0,2,0.0,-10.74,0.13523577417683003,1.55,0.0,0.0,False,,,0.0,,0.0,31,0.0,0,-4.470000000000001,-1.0,-10.0,
E0,2020-10-25,14:00,Southampton,Everton,2,0,H,2,0,H,12,6,6,2,11,11,4,5,1,2,0,1,1.79,2.05,1510.0,1510.0,2.2800000000000002,0.9400000000000001,2,2.0,1.0,0.0,1.5,0.0,2.0,2.0,0.0,1.0,1.0,0.0,6.0,1.0,0.0,1.9999800001999979,0.0,0.0,0.0,1.9,0.0,10.0,0.0,5.0,0.0,0.9199999999999999,0.45999999999999996,3.3928571428571432,10,27,2.283,-2,0,2,4.2829999999999995,0.0,1.0,2,0.0,-1.9,0.13523577417683003,1.7000000000000002,0.0,0.0,False,,,0.5,,0.0,35,0.0,0,-0.9199999999999999,-5.0,0.0,
E0,2020-10-26,17:30,Brighton,West Brom,1,1,D,1,0,H,5,9,3,3,14,7,6,2,2,0,0,0,1.83,2.0,1490.0,1500.0,1.05,1.4100000000000001,2,1.5,1.0,2.0,1.0,2.0,0.0,2.0,3.0,0.0,3.0,7.0,0.0,-1.0,0.6666644444518518,0.0,2.62,0.0,0.0,0.0,18.0,0.0,5.0,0.0,1.23,0.0,0.615,3.6643356643356646,4,22,1.869,2,7,9,10.869,3.0,0.0,2,5.0,-7.38,0.13524701932650102,1.3000000000000003,0.0,0.0,False,,,0.5,,0.0,28,41.0,0,2.62,5.0,-10.0,
E0,2020-10-26,20:00,Burnley,Tottenham,0,1,A,0,0,D,13,9,4,3,9,7,4,5,2,0,0,0,1.84,1.98,1490.0,1500.0,1.97,1.4100000000000001,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,-1.0,0.0,0.0,1.2999999999999998,0.0,0.0,0.0,10.0,0.0,2.0,0.0,0.6499999999999999,0.0,0.32499999999999996,3.058823529411765,5,31,2.507,2,2,4,6.507,1.0,0.0,1,1.0,-8.7,0.13524701932650102,1.8000000000000003,0.0,0.0,False,,,0.0,,0.0,38,28.0,0,1.2999999999999998,2.0,-10.0,
E0,2020-10-30,20:00,Wolves,Crystal Palace,2,0,H,2,0,H,15,11,5,2,13,4,7,6,0,2,0,1,2.67,1.48,1490.28774368332,1490.0,2.3499999999999996,1.3900000000000001,2,1.5,0.0,0.5,2.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.9999900000999989,0.0,2.04,0.0,0.0,0.0,16.0,0.0,3.0,0.0,0.85,0.0,0.425,3.8857142857142857,7,39,3.161,-3,9,12,15.161,1.0,0.0,2,2.0,2.327743683320059,0.1352920879493684,2.0,0.0,0.0,False,,,0.0,,0.0,46,31.0,1,2.04,3.0,0.28774368332005906,
E0,2020-10-31,17:30,Liverpool,West Ham,2,1,H,1,1,D,9,4,5,3,13,14,1,2,0,1,0,0,1.4,2.95,1510.0,1510.0,1.81,0.9600000000000001,3,2.5,1.0,1.0,2.0,3.0,0.0,3.0,1.0,0.0,1.0,7.0,0.0,2.0,2.9999700002999967,0.0,3.49,0.0,0.0,0.0,21.0,0.0,8.0,0.0,0.9600000000000001,0.0,0.48000000000000004,6.017241379310344,7,16,1.3655,-1,-1,2,3.3655,1.0,0.0,3,4.0,3.49,0.13530337717353405,1.4500000000000002,0.0,0.0,True,,,0.5,,0.0,24,46.0,0,3.49,8.0,0.0,
E0,2020-10-31,12:30,Sheffield United,Man City,0,1,A,0,1,A,5,16,1,8,14,6,2,5,0,0,0,0,1.51,2.58,1490.0,1490.0,0.6499999999999999,3.04,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,-1.0,0.0,0.0,2.06,0.0,0.0,0.0,14.0,0.0,4.0,0.0,3.33,0.0,1.665,1.1671388101983002,18,28,2.3035,0,8,8,10.3035,1.0,0.0,1,1.0,2.06,0.13530337717353405,1.9500000000000002,0.0,0.0,False,,,0.0,,0.0,37,56.0,0,2.06,4.0,0.0,
E0,2020-10-31,15:00,Burnley,Chelsea,0,3,A,0,1,A,5,14,0,9,10,15,3,4,1,0,0,0,1.66,2.23,1480.28774368332,1500.0,0.44999999999999996,3.06,3,0.0,3.0,1.6666666666666667,1.5,0.0,3.0,3.0,1.0,3.0,4.0,6.0,9.0,-1.0,0.0,0.9999966666777778,1.6349999999999998,0.47376154339498705,0.0,3.98,11.5,22.0,3.0,10.0,1.03,1.4100000000000001,1.2200000000000002,4.253787878787878,18,26,2.1765,1,-5,6,8.1765,1.0,3.0,3,1.0,-22.05725631667994,0.13530337717353405,1.85,0.0,0.0,True,0.5,0.5,0.5,0.0,0.0,35,33.0,1,0.22499999999999964,-7.0,-19.71225631667994,0.0
E0,2020-11-27,20:00,Crystal Palace,Newcastle,0,2,A,0,0,D,12,14,3,7,9,10,7,3,2,2,0,0,2.34,1.61,1480.0082819270542,1499.71225631668,1.6800000000000002,2.66,2,0.5,1.3333333333333333,2.0,0.6666666666666666,1.0,1.0,2.0,2.0,1.0,3.0,7.0,3.5,-1.0,0.49999750001249993,0.9999900000999989,0.9199999999999999,0.0,0.07778174593052026,0.7949999999999999,8.0,5.5,1.0,1.5,1.9,3.2550000000000003,2.5775,0.6405228758169934,6,36,2.9509999999999996,0,-1,1,3.9509999999999996,2.0,1.0,2,3.0,-19.578974389625728,0.1356115741592891,2.3,0.0,0.0,False,0.5,0.5,0.5,0.0,0.0,46,37.0,0,-2.3350000000000004,-0.5,-19.703974389625728,0.0
E0,2020-11-28,15:00,Man City,Burnley,5,0,H,3,0,H,19,9,6,1,12,4,6,4,0,0,0,0,1.45,2.74,1500.0,1470.85450002419,2.91,1.01,5,3.5,0.0,2.5,5.0,2.0,0.0,2.0,5.0,0.0,5.0,3.0,0.0,-3.0,0.39999920000160005,0.0,2.44,0.0,0.0,0.0,16.0,0.0,5.0,0.0,2.0300000000000002,0.0,1.0150000000000001,2.1883408071748875,15,38,2.9880000000000004,0,8,8,10.988,5.0,0.0,5,7.0,31.585499975810027,0.13562311608892122,2.1,0.0,0.0,True,,,0.5,,0.0,45,42.0,0,2.44,5.0,29.145499975810026,
E0,2020-11-28,20:00,West Brom,Sheffield United,1,0,H,1,0,H,17,21,6,5,10,9,14,9,2,3,0,0,2.28,1.63,1499.71225631668,1480.0,2.7300000000000004,2.8899999999999997,1,2.0,0.0,1.5,1.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.9999966666777778,0.0,1.4100000000000001,0.0,0.0,0.0,9.0,0.0,3.0,0.0,3.98,0.0,1.99,0.6746411483253589,5,61,5.043,-1,1,2,7.043,3.0,0.0,1,6.0,21.12225631667994,0.13562311608892122,3.0,0.0,0.0,False,,,0.5,,0.0,72,56.0,0,1.4100000000000001,3.0,19.71225631667994,
E0,2020-11-28,12:30,Brighton,Liverpool,1,1,D,0,0,D,11,6,3,2,9,13,4,3,2,1,0,0,1.58,2.4,1490.28774368332,1520.0,1.59,0.9400000000000001,2,1.3333333333333333,1.0,1.6666666666666667,1.0,1.5,0.0,1.5,2.0,0.0,2.0,6.5,0.0,-0.5,0.7499962500187499,0.0,1.835,1.1101576464628795,0.0,0.0,11.5,0.0,4.0,0.0,1.32,0.0,0.66,2.414473684210526,6,24,1.9295000000000002,1,-4,5,6.9295,2.0,0.0,2,3.5,-27.87725631667994,0.13562311608892122,1.35,0.0,0.0,False,,,0.25,,2.1213203435596424,29,34.5,0,1.835,4.0,-29.71225631667994,
E0,2020-11-28,17:30,Everton,Leeds,0,1,A,0,0,D,15,23,8,7,8,14,4,2,1,2,0,0,1.62,2.31,1500.0,1510.0,2.95,3.4699999999999998,1,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,99999.99999999999,0.0,0.0,0.0,3.33,0.0,17.0,0.0,9.0,0.0,2.06,1.03,2.9469026548672566,9,44,3.463,-1,-6,7,10.463000000000001,0.0,0.0,1,0.0,-13.33,0.13562311608892122,3.4000000000000004,0.0,0.0,False,,,0.0,,0.0,59,0.0,0,-2.06,-9.0,-10.0,
E0,2020-11-29,14:00,Southampton,Man United,2,3,A,2,0,H,10,15,5,6,12,12,5,9,1,0,0,0,1.81,2.01,1520.0,1510.0,1.9,2.55,5,2.0,3.0,1.5,2.0,2.0,3.0,5.0,0.0,2.0,2.0,4.0,1.0,3.0,199999.99999999997,1.4999925000374998,2.2800000000000002,0.0,0.0,1.23,12.0,7.0,6.0,3.0,0.9400000000000001,2.62,1.78,1.8670212765957448,6,39,3.3175000000000003,1,0,1,4.317500000000001,0.0,2.0,5,2.0,11.05,0.13563466723292392,2.35,0.0,0.0,True,0.5,0.5,0.5,0.0,0.0,50,35.0,0,-0.33999999999999986,3.0,10.0,0.0
E0,2020-11-29,19:15,Arsenal,Wolves,1,2,A,1,2,A,13,11,2,5,13,13,8,4,3,4,0,0,2.31,1.62,1480.5750112778453,1500.2794617562658,1.5699999999999998,1.99,3,0.5,1.0,1.5,2.5,0.0,0.0,0.0,1.0,4.0,5.0,9.0,3.0,-5.0,0.0,0.0,1.8800000000000001,0.0,0.0,1.3900000000000001,12.0,11.0,4.0,2.0,0.9400000000000001,2.75,1.845,1.681233933161954,5,36,2.934,-1,0,1,3.934,1.0,4.0,3,1.0,-19.21445047842054,0.13563466723292392,1.9000000000000004,0.0,0.0,True,0.5,0.5,0.5,0.0,0.0,43,36.0,0,-0.8699999999999999,2.0,-19.70445047842054,0.0
E0,2020-11-29,16:30,Chelsea,Tottenham,0,0,D,0,0,D,13,5,3,1,20,9,3,3,4,2,0,0,1.76,2.08,1509.43324365913,1509.71225631668,1.77,0.6499999999999999,0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,99999.99999999999,0.0,0.0,0.0,1.4100000000000001,0.0,9.0,0.0,3.0,0.0,1.97,0.985,1.2995391705069126,10,24,1.863,2,11,13,14.863,0.0,0.0,0,0.0,-1.6890126575498563,0.13563466723292392,1.3,0.0,0.0,False,,,0.0,,0.0,28,0.0,0,-1.97,-3.0,-0.27901265754985616,
