Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Avg>2.5,Avg<2.5,target_goals_home,target_goals_away,target_shots_home,target_shots_away,target_shots_on_home,target_shots_on_away,target_corners_home,target_corners_away,target_fouls_home,target_fouls_away,target_yellows_home,target_yellows_away,target_reds_home,target_reds_away,shots_home_last5_mean,fouls_home_last5_mean,corners_home_last5_mean,shots_away_last5_mean,fouls_away_last5_mean,corners_away_last5_mean,shots_home_vs_away,fouls_home_vs_away,corners_home_vs_away,avg_shots_against_home,avg_fouls_against_home,avg_corners_against_home,avg_shots_against_away,avg_fouls_against_away,avg_corners_against_away,elo_home,elo_away,elo_diff,elo_all,elo_weak_threshold,elo_strong_threshold,opponent_strength_home,opponent_strength_away,mask_HomeTeam_weak,mask_HomeTeam_average,mask_HomeTeam_strong,goals_vs_weak_home,goals_vs_average_home,goals_vs_strong_home,shots_vs_weak_home,shots_vs_average_home,shots_vs_strong_home,shots_on_vs_weak_home,shots_on_vs_average_home,shots_on_vs_strong_home,mask_AwayTeam_weak,mask_AwayTeam_average,mask_AwayTeam_strong,goals_vs_weak_away,goals_vs_average_away,goals_vs_strong_away,shots_vs_weak_away,shots_vs_average_away,shots_vs_strong_away,shots_on_vs_weak_away,shots_on_vs_average_away,shots_on_vs_strong_away,conversion_vs_weak_home,efficiency_vs_weak_home,conversion_vs_average_home,efficiency_vs_average_home,conversion_vs_strong_home,efficiency_vs_strong_home,conversion_vs_weak_away,efficiency_vs_weak_away,conversion_vs_average_away,efficiency_vs_average_away,conversion_vs_strong_away,efficiency_vs_strong_away
N1,2020-10-04,11:15,Groningen,Ajax,1,0,H,0,0,D,11,19,3,3,10,9,1,11,0,1,0,0,1.48,2.61,1,0,11,19,3,3,1,11,10,9,0,1,0,0,,,,,,,,,,11.049999999999999,10.566666666666666,4.416666666666667,12.683333333333332,10.866666666666667,5.0,1500.0,1515.0,-15.0,1507.5,1500.0,1500.0,strong,strong,False,False,True,,,,,,,,,,False,False,True,,,,,,,,,,,,,,,,,,,,,
N1,2020-10-04,13:30,Sparta Rotterdam,AZ Alkmaar,4,4,D,0,4,A,17,15,7,6,17,14,5,6,1,4,0,1,1.6,2.31,4,4,17,15,7,6,5,6,17,14,1,4,0,1,,,,,,,,,,11.890909090909092,10.127272727272727,4.254545454545454,12.75,11.15,4.8,1500.0,1500.0,0.0,1500.0,1500.0,1500.0,strong,strong,False,False,True,,,,,,,,,,False,False,True,,,,,,,,,,,,,,,,,,,,,
N1,2020-10-04,13:30,Willem II,Feyenoord,1,4,A,1,1,D,6,16,3,8,15,20,1,4,1,1,0,0,1.57,2.38,1,4,6,16,3,8,1,4,15,20,1,1,0,0,,,,,,,,,,12.945454545454545,10.436363636363636,5.127272727272727,13.399999999999999,11.338461538461539,5.846153846153846,1500.0,1515.0,-15.0,1507.5,1500.0,1500.0,strong,strong,False,False,True,,,,,,,,,,False,False,True,,,,,,,,,,,,,,,,,,,,,
N1,2020-10-04,15:45,PSV Eindhoven,For Sittard,2,0,H,1,0,H,9,16,5,5,12,10,6,3,0,1,0,0,1.39,2.91,2,0,9,16,5,5,6,3,12,10,0,1,0,0,,,,,,,,,,11.316666666666668,10.366666666666667,4.583333333333333,12.96923076923077,11.215384615384616,4.861538461538462,1500.0,1500.0,0.0,1500.0,1500.0,1500.0,strong,strong,False,False,True,,,,,,,,,,False,False,True,,,,,,,,,,,,,,,,,,,,,
N1,2020-10-17,20:00,Willem II,Twente,0,3,A,0,1,A,18,16,9,8,10,7,12,3,3,1,0,0,1.77,2.04,0,3,18,16,9,8,12,3,10,7,3,1,0,0,,,,,,,,,,12.945454545454545,10.436363636363636,5.127272727272727,12.646153846153847,10.953846153846154,5.046153846153846,1485.6471999915343,1500.0,-14.352800008465692,1492.8235999957672,1500.0,1500.0,strong,weak,False,False,True,,,1.0,,,6.0,,,3.0,True,False,False,,,,,,,,,,,,,,0.1663893510815308,0.33222591362126247,,,,,,
N1,2020-10-17,17:45,Heracles,Waalwijk,0,1,A,0,1,A,24,5,6,1,20,15,6,2,1,1,0,0,1.58,2.34,0,1,24,5,6,1,6,2,20,15,1,1,0,0,,,,,,,,,,11.416666666666666,11.366666666666667,3.9,12.383333333333333,10.9,4.833333333333333,1484.3528000084657,1485.0,-0.6471999915343076,1484.6764000042328,1500.0,1500.0,weak,weak,True,False,False,,,1.0,,,9.0,,,2.0,True,False,False,,,1.0,,,12.0,,,4.0,,,,,0.11098779134295228,0.49751243781094534,,,,,0.08326394671107411,0.24937655860349128
N1,2020-10-17,19:00,AZ Alkmaar,VVV Venlo,2,2,D,2,0,H,20,11,7,4,11,20,6,2,1,3,1,0,1.42,2.8,2,2,20,11,7,4,6,2,11,20,1,3,1,0,,,,,,,,,,11.76923076923077,10.584615384615384,4.661538461538462,14.583333333333334,10.950000000000001,6.0,1500.0,1470.0,30.0,1485.0,1500.0,1500.0,weak,strong,True,False,False,,,,,,,,,,False,False,True,,,0.0,,,13.0,,,2.0,,,,,,,,,,,0.0,0.0
N1,2020-10-18,11:15,Feyenoord,Sparta Rotterdam,1,1,D,1,0,H,11,11,1,5,10,18,8,4,3,1,0,0,1.43,2.78,1,1,11,11,1,5,8,4,10,18,3,1,0,0,,,,,,,,,,11.383333333333333,10.266666666666667,4.05,11.483333333333334,11.25,4.8,1529.3528000084657,1500.0,29.352800008465692,1514.6764000042328,1500.0,1500.0,strong,strong,False,False,True,,,4.0,,,24.0,,,12.0,False,False,True,,,,,,,,,,,,,,0.1665972511453561,0.33305578684429643,,,,,,
N1,2020-10-18,13:30,Ajax,Heerenveen,5,1,H,3,0,H,16,9,5,5,10,14,5,9,1,2,0,0,1.25,3.82,5,1,16,9,5,5,5,9,10,14,1,2,0,0,,,,,,,,,,12.345454545454546,10.4,4.309090909090909,12.618181818181819,10.527272727272727,5.4363636363636365,1499.3528000084657,1515.0,-15.647199991534308,1507.1764000042328,1500.0,1500.0,strong,weak,False,False,True,,,2.0,,,18.0,,,4.0,True,False,False,,,1.0,,,10.0,,,3.0,,,,,0.11104941699056078,0.49875311720698257,,,,,0.0999000999000999,0.33222591362126247
N1,2020-10-18,13:30,Den Haag,Vitesse,0,2,A,0,1,A,11,20,4,8,15,7,3,3,2,3,0,1,1.63,2.26,0,2,11,20,4,8,3,3,15,7,2,3,0,1,,,,,,,,,,13.076923076923077,10.307692307692308,4.8769230769230765,14.327272727272726,12.163636363636364,5.254545454545454,1500.0,1500.6471999915343,-0.6471999915343076,1500.3235999957672,1500.0,1500.0,strong,strong,False,False,True,,,,,,,,,,False,False,True,,,1.0,,,24.0,,,5.0,,,,,,,,,,,0.04164931278633902,0.1996007984031936
N1,2020-10-18,15:45,Groningen,Utrecht,0,0,D,0,0,D,16,14,1,6,15,6,4,4,5,0,0,0,1.84,1.96,0,0,16,14,1,6,4,4,15,6,5,0,0,0,,,,,,,,,,11.049999999999999,10.566666666666666,4.416666666666667,13.049999999999999,10.883333333333333,4.8500000000000005,1515.6471999915343,1515.0,0.6471999915343076,1515.3235999957672,1500.0,1500.0647199991533,strong,strong,False,False,True,,,1.0,,,11.0,,,3.0,False,False,True,,,,,,,,,,,,,,0.09082652134423251,0.33222591362126247,,,,,,
N1,2020-10-18,15:45,Zwolle,PSV Eindhoven,0,3,A,0,3,A,12,12,3,5,11,17,4,3,2,2,0,0,1.52,2.48,0,3,12,12,3,5,4,3,11,17,2,2,0,0,,,,,,,,,,10.766666666666666,10.733333333333334,3.85,12.583333333333334,10.533333333333333,5.15,1500.0,1515.0,-15.0,1507.5,1500.0,1500.2782959963597,strong,average,False,False,True,,,,,,,,,,False,True,False,,,1.0,,,9.0,,,2.0,,,,,,,,,,,0.11098779134295228,0.49751243781094534
N1,2020-10-18,19:00,FC Emmen,For Sittard,2,2,D,0,2,A,17,15,8,5,8,15,5,3,2,1,0,0,1.56,2.4,2,2,17,15,8,5,5,3,8,15,2,1,0,0,,,,,,,,,,11.283333333333333,10.35,4.216666666666667,12.96923076923077,11.215384615384616,4.861538461538462,1500.0,1485.0,15.0,1492.5,1500.0,1500.168271997799,weak,average,True,False,False,,,1.0,,,10.0,,,2.0,False,True,False,,,0.0,,,16.0,,,5.0,,,,,0.0999000999000999,0.49751243781094534,,,,,0.0,0.0
N1,2020-10-21,16:30,Waalwijk,Zwolle,1,1,D,0,0,D,11,21,3,6,12,13,9,5,2,2,0,0,1.9,1.9,1,1,11,21,3,6,9,5,12,13,2,2,0,0,,,,,,,,,,10.984615384615385,11.076923076923077,4.184615384615385,13.549999999999999,10.416666666666666,5.383333333333333,1499.9720581625813,1485.6471999915343,14.324858171047026,1492.8096290770577,1500.0,1500.0582479992381,weak,weak,True,False,False,,,,,,,,,,True,False,False,,,,,,,,,,,,,,,,,,,,,
N1,2020-10-24,15:30,VVV Venlo,Ajax,0,13,A,0,4,A,3,45,0,23,12,9,3,12,1,0,1,0,1.35,3.09,0,13,3,45,0,23,3,12,12,9,1,0,1,0,,,,,,,,,,13.65,11.4,5.033333333333333,12.683333333333332,10.866666666666667,5.0,1471.2919947606663,1515.0278875785095,-43.73589281784325,1493.159941169588,1499.452795293567,1500.0,strong,weak,False,False,True,1.0,,,10.0,,,3.0,,,True,False,False,,,0.0,,,19.0,,,3.0,0.0999000999000999,0.33222591362126247,,,,,,,,,0.0,0.0
